msa,base,action,mil_out,civ_out,mil_in,civ_in,mil_net,civ_net,net_contractor,direct,indirect,total_job_changes,ea_employment,changes_as_percent_of_employment
"Abilene, TX Metropolitan Statistical Area","Dyess Air Force Base",Gain,-1615,-65,1925,129,310,64,0,374,358,732,92846,0.8%
"Aguadilla-Isabela-San Sebastian, PR Metropolitan Statistical Area","Aguadillla-Ramey U.S. Army Reserve Center/BMA-126",Realign,-10,0,0,0,-10,0,0,-10,-5,-15,80981,0.0%
"Akron, OH Metropolitan Statistical Area","Navy-Marine Corps Reserve Center Akron",Close,-26,0,0,0,-26,0,0,-26,-10,-36,398976,0.0%
"Akron, OH Metropolitan Statistical Area","Armed Forces Reserve Center Akron",Gain,0,0,37,0,37,0,0,37,14,51,398976,0.0%
"Alamogordo, NM Micropolitan Statistical Area","Holloman Air Force Base",Realign,-17,0,0,0,-17,0,0,-17,-11,-28,27515,-0.1%
"Albany, GA Metropolitan Statistical Area","Marine Corps Logistics Base Albany",Gain,-2,-42,1,193,-1,151,0,150,119,269,79160,0.3%
"Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Schenectady County Air Guard Station",Realign,-10,-9,0,0,-10,-9,0,-19,-19,-38,529819,0.0%
"Albemarle, NC Micropolitan Statistical Area","Niven U.S. Army Reserve Center, Albermarle",Close,-34,0,0,5,-34,5,0,-29,-13,-42,26102,-0.2%
"Albuquerque, NM Metropolitan Statistical Area","Jenkins Armed Forces Reserve Center Albuquerque",Close,-35,-1,0,0,-35,-1,0,-36,-29,-65,454397,0.0%
"Albuquerque, NM Metropolitan Statistical Area","Kirtland Air Force Base",Gain,-7,0,37,176,30,176,0,206,206,412,454397,0.1%
"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area","Navy-Marine Corps Reserve Center Lehigh",Gain,0,0,8,0,8,0,0,8,3,11,396091,0.0%
"Altus, OK Micropolitan Statistical Area","Altus Air Force Base",Realign,-16,0,0,0,-16,0,0,-16,-10,-26,16463,-0.2%
"Anchorage, AK Metropolitan Statistical Area","Kulis Air Guard Station",Close,-218,-241,0,0,-218,-241,0,-459,-377,-836,211967,-0.4%
"Anchorage, AK Metropolitan Statistical Area","Elmendorf Air Force Base",Realign,-1499,-65,397,233,-1102,168,0,-934,-643,-1577,211967,-0.7%
"Anchorage, AK Metropolitan Statistical Area","Fort Richardson",Realign,-86,-199,0,0,-86,-199,-1,-286,-244,-530,211967,-0.3%
"Anniston-Oxford, AL Metropolitan Statistical Area","Anniston Army Depot",Gain,0,-87,0,1121,0,1034,0,1034,766,1800,60648,3.0%
"Aroostook County, ME ","Defense Finance and Accounting Service, Limestone",Close,0,-241,0,0,0,-241,0,-241,-149,-390,41134,-0.9%
"Asheville, NC Metropolitan Statistical Area","Navy Reserve Center Asheville",Close,-7,0,0,0,-7,0,0,-7,-2,-9,217211,0.0%
"Athens-Clarke County, GA Metropolitan Statistical Area","Naval Supply Corps School Athens",Close,-393,-108,4,0,-389,-108,-16,-513,-317,-830,96829,-0.9%
"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area","Fort Gillem",Close,-517,-570,6,0,-511,-570,0,-1081,-734,-1815,2777548,-0.1%
